index,axis-0,axis-1,axis-2
211.0,19.0,34.68971953931757,103.55898600576188
212.0,19.0,10.274607933952383,109.60874817346298
213.0,19.0,90.65001959055282,60.56246202817187
214.0,19.0,70.34010374184196,40.03648324490026
215.0,19.0,63.21002690133708,9.787672406394716
216.0,19.0,49.38199908944883,11.948301752002251
217.0,19.0,42.900111052626215,7.627043060787175
218.0,19.0,8.113978588344844,9.13948360271245
219.0,19.0,14.595866625167458,14.108931097609787
220.0,19.0,18.484999447261032,19.510504461628635
221.0,19.0,69.90797787272045,79.1438744003967
222.0,19.0,64.50640450870159,75.68686744742463
223.0,19.0,66.23490798518763,86.92214004458384
224.0,19.0,64.50640450870159,94.48434275421022
225.0,19.0,49.16593615488808,60.34639909361111
226.0,19.0,35.12184540843908,79.5760002695182
227.0,20.0,63.85821570501934,42.41317552506855
228.0,20.0,70.55616667640271,41.764986721386286
229.0,20.0,75.52561417130005,41.98104965594704
230.0,20.0,99.07647403842222,50.40750410381644
231.0,20.0,68.39553733079516,7.1949171916656685
232.0,20.0,46.78924387471979,9.787672406394716
233.0,20.0,53.05506897698165,15.837434574095823
234.0,20.0,12.867363148681429,11.300112948319988
235.0,20.0,6.81760098098032,7.843105995347928
236.0,20.0,51.97475430417788,70.93348288708805
237.0,20.0,47.86955854752356,80.00812613863971
238.0,20.0,35.12184540843908,92.10765047404193
239.0,20.0,27.559642698812695,97.50922383806078
240.0,20.0,28.207831502494955,106.7999300241732
241.0,20.0,36.20216008124285,102.69473426751887
242.0,20.0,16.324370101653493,119.54764316325766
243.0,20.0,8.330041522905598,108.74449643521997
244.0,20.0,15.460118363410475,107.6641817624162
245.0,20.0,13.515551952363689,101.83048252927586
246.0,20.0,1.4160276169614736,118.68339142501465
247.0,20.0,63.426089835897834,70.7174199525273
248.0,20.0,65.37065624694462,78.92781146583594
249.0,20.0,58.67270527556125,84.97757363353705
250.0,20.0,58.888768210122,77.1993079893499
251.0,20.0,34.47365660475682,53.216322253106235
252.0,20.0,24.75082454952289,54.51269986047076
253.0,20.0,15.676181297971228,58.83395855168583
254.0,20.0,45.49286626735527,64.01946898114393
255.0,20.0,52.40688017329939,60.99458789729337
256.0,20.0,75.09348830217854,114.79425860292108
257.0,20.0,72.71679602201024,119.11551729413615
258.0,20.0,93.89096360896413,121.06008370518295
259.0,20.0,115.4972570650395,123.86890185447274
260.0,21.0,89.78576785230979,118.46732858704156
261.0,21.0,94.53915241264637,121.49220967089211
262.0,21.0,74.87742536761778,122.78858727825664
263.0,21.0,120.03457827870801,69.42104244175043
264.0,21.0,126.94859218465213,61.858839732124046
265.0,21.0,134.94292076340002,73.74230113296551
266.0,21.0,68.82766278780933,8.275231658415763
267.0,21.0,86.32876048723038,9.355546331219532
268.0,21.0,54.567509106799555,61.42671397246854
269.0,21.0,51.32656508838825,67.6925390747304
270.0,21.0,48.30168400453769,73.95836417699226
271.0,21.0,46.789243462612404,82.60088155942242
272.0,21.0,26.695390548462285,101.61441980076874
273.0,21.0,29.288145763191334,108.74449664127363
274.0,21.0,12.43523686745253,110.04087424863815
275.0,21.0,7.897915241676701,103.77504914637629
