index,axis-0,axis-1,axis-2,label
339,10.0,2.0,20.0,0.0
340,10.0,75.0,77.0,2.0
341,10.0,59.0,51.0,0.0
342,10.0,103.0,10.0,0.0
343,10.0,73.0,110.0,0.0
344,10.0,46.0,158.0,0.0
345,10.0,78.0,127.0,0.0
346,10.0,61.0,186.0,0.0
347,10.0,23.0,19.0,0.0
348,10.0,100.0,191.0,0.0
349,10.0,1.0,166.0,0.0
350,10.0,64.0,215.0,0.0
351,10.0,57.0,150.0,0.0
352,10.0,83.0,185.0,0.0
353,10.0,94.0,176.0,0.0
354,11.0,105.0,43.0,1.0
355,11.0,96.0,58.0,1.0
356,11.0,107.0,52.0,1.0
357,11.0,118.0,56.0,1.0
358,11.0,83.0,62.0,1.0
359,11.0,79.0,35.0,1.0
360,11.0,51.0,13.0,1.0
361,11.0,88.0,60.0,1.0
362,11.0,86.0,52.0,1.0
363,11.0,31.0,2.0,1.0
364,11.0,123.0,38.0,1.0
365,11.0,83.0,50.0,1.0
366,11.0,112.0,70.0,1.0
367,11.0,104.0,31.0,1.0
368,11.0,96.0,47.0,1.0
369,11.0,40.0,15.0,1.0
370,11.0,105.0,14.0,0.0
371,11.0,58.0,20.0,1.0
372,11.0,34.0,1.0,2.0
373,11.0,68.0,38.0,1.0
374,11.0,81.0,38.0,1.0
375,11.0,84.0,56.0,0.0
376,11.0,123.0,49.0,2.0
377,11.0,122.0,80.0,1.0
378,11.0,106.0,65.0,1.0
379,11.0,81.0,24.0,0.0
380,11.0,99.0,72.0,1.0
381,11.0,105.0,85.0,2.0
382,11.0,92.0,67.0,1.0
383,11.0,69.0,23.0,1.0
384,11.0,108.0,82.0,1.0
385,11.0,42.0,10.0,1.0
386,11.0,82.0,31.0,2.0
387,11.0,101.0,25.0,2.0
388,11.0,59.0,37.0,0.0
389,11.0,120.0,45.0,0.0
390,11.0,16.0,0.0,0.0
391,11.0,50.0,77.0,0.0
392,11.0,94.0,7.0,1.0
393,11.0,92.0,18.0,1.0
394,11.0,100.0,1.0,0.0
395,11.0,2.0,20.0,0.0
396,11.0,75.0,77.0,1.0
397,11.0,103.0,10.0,0.0
398,11.0,81.0,27.0,2.0
399,11.0,59.0,51.0,0.0
400,11.0,63.0,182.0,0.0
401,11.0,118.0,4.0,0.0
402,11.0,100.0,191.0,0.0
403,11.0,64.0,215.0,0.0
404,11.0,73.0,110.0,0.0
405,11.0,49.0,219.0,0.0
406,11.0,78.0,127.0,0.0
407,11.0,57.0,150.0,0.0
408,11.0,61.0,186.0,0.0
409,11.0,27.0,153.0,0.0
410,11.0,100.0,173.0,0.0
411,12.0,88.0,81.0,1.0
412,12.0,89.0,50.0,1.0
413,12.0,106.0,43.0,1.0
414,12.0,93.0,82.0,1.0
415,12.0,79.0,35.0,1.0
416,12.0,116.0,71.0,1.0
417,12.0,80.0,62.0,1.0
418,12.0,83.0,50.0,1.0
419,12.0,112.0,70.0,1.0
420,12.0,119.0,37.0,1.0
421,12.0,73.0,61.0,1.0
422,12.0,85.0,70.0,1.0
423,12.0,105.0,85.0,0.0
424,12.0,118.0,79.0,1.0
425,12.0,59.0,37.0,1.0
426,12.0,81.0,24.0,1.0
427,12.0,96.0,47.0,1.0
428,12.0,31.0,2.0,2.0
429,12.0,86.0,60.0,0.0
430,12.0,78.0,48.0,1.0
431,12.0,40.0,15.0,0.0
432,12.0,105.0,14.0,2.0
433,12.0,80.0,15.0,1.0
